product_id,sku,name,description,category,subcategory,brand,price,currency,discount_percent,stock_quantity,rating,review_count,attributes,image_url,product_url,is_active
P0033,MOU-0033,Moulinex Cooker,Moulinex Cooker designed for reliable everyday household use.,Home,Kitchen,Moulinex,6880,EGP,5,49,4.3,459,"{""color"": ""White"", ""capacity"": ""10L"", ""power"": ""800W""}",https://example.com/images/p0033.jpg,https://example.com/products/p0033,True
P0034,PAN-0034,Pantene Volume Shampoo,Pantene shampoo formulated for regular hair care and suitable for damaged hair.,Beauty,Haircare,Pantene,670,EGP,0,1,4.1,990,"{""color"": ""Gray"", ""volume"": ""250ml"", ""hair_type"": ""damaged""}",https://example.com/images/p0034.jpg,https://example.com/products/p0034,True
P0035,ASU-0035,Asus IdeaPad Laptop,"Asus IdeaPad laptop with 32GB RAM, 1TB SSD and a AMD Ryzen 5 processor.",Electronics,Laptops,Asus,22980,EGP,20,55,4.9,1062,"{""color"": ""Blue"", ""ram"": ""32GB"", ""storage"": ""1TB"", ""processor"": ""AMD Ryzen 5""}",https://example.com/images/p0035.jpg,https://example.com/products/p0035,True
P0036,SAM-0036,Samsung Max 256GB,"Samsung Max smartphone with 256GB storage, a high-quality camera and long-lasting battery.",Electronics,Smartphones,Samsung,36840,EGP,0,14,4.5,318,"{""color"": ""Beige"", ""storage"": ""256GB"", ""ram"": ""6GB"", ""battery"": ""5200mAh""}",https://example.com/images/p0036.jpg,https://example.com/products/p0036,True
P0037,PHI-0037,Philips Mixer,Philips Mixer designed for reliable everyday household use.,Home,Kitchen,Philips,6840,EGP,10,29,4.5,1133,"{""color"": ""Gray"", ""capacity"": ""6L"", ""power"": ""1000W""}",https://example.com/images/p0037.jpg,https://example.com/products/p0037,True
P0038,ZAR-0038,Zara Slim Jeans,Zara Slim jeans made for everyday casual outfits.,Fashion,Jeans,Zara,2680,EGP,0,60,4.2,1081,"{""color"": ""Beige"", ""sizes"": ""30-40"", ""fit"": ""Slim"", ""material"": ""Denim""}",https://example.com/images/p0038.jpg,https://example.com/products/p0038,True
P0039,PUM-0039,Puma Flex Sneakers,Puma sneakers with comfortable cushioning and a breathable design for everyday use.,Fashion,Shoes,Puma,7010,EGP,15,46,4.1,216,"{""color"": ""Black"", ""size_range"": ""39-44"", ""material"": ""Textile""}",https://example.com/images/p0039.jpg,https://example.com/products/p0039,True
P0040,PHI-0040,Philips Iron,Philips Iron designed for reliable everyday household use.,Home,Appliances,Philips,13390,EGP,10,34,4.9,1067,"{""color"": ""Beige"", ""capacity"": ""10L"", ""power"": ""800W""}",https://example.com/images/p0040.jpg,https://example.com/products/p0040,True
P0041,HP-0041,HP IdeaPad Laptop,"HP IdeaPad laptop with 16GB RAM, 1TB SSD and a AMD Ryzen 5 processor.",Electronics,Laptops,HP,61730,EGP,15,16,4.1,398,"{""color"": ""White"", ""ram"": ""16GB"", ""storage"": ""1TB"", ""processor"": ""AMD Ryzen 5""}",https://example.com/images/p0041.jpg,https://example.com/products/p0041,True
P0042,HOM-0042,Home Centre Modern Table,"Home Centre minimalist table designed for practical use in bedrooms, offices or living rooms.",Home,Furniture,Home Centre,3790,EGP,20,40,3.8,993,"{""color"": ""Gray"", ""material"": ""Metal""}",https://example.com/images/p0042.jpg,https://example.com/products/p0042,True
P0043,ADI-0043,Adidas Runner Sneakers,Adidas sneakers with comfortable cushioning and a breathable design for everyday use.,Fashion,Shoes,Adidas,6060,EGP,15,9,4.0,248,"{""color"": ""Red"", ""size_range"": ""40-45"", ""material"": ""Mesh""}",https://example.com/images/p0043.jpg,https://example.com/products/p0043,True
P0044,PHI-0044,Philips Blender,Philips Blender designed for reliable everyday household use.,Home,Kitchen,Philips,9420,EGP,5,38,4.5,269,"{""color"": ""Black"", ""capacity"": ""1.5L"", ""power"": ""800W""}",https://example.com/images/p0044.jpg,https://example.com/products/p0044,True
P0045,TCL-0045,TCL 55-inch 4K Smart TV,"TCL smart TV with a 55-inch 4K display, HDR support and streaming applications.",Electronics,TVs,TCL,46520,EGP,20,7,4.2,1031,"{""color"": ""Black"", ""screen"": ""55 inch"", ""resolution"": ""4K"", ""smart"": true, ""hdr"": true}",https://example.com/images/p0045.jpg,https://example.com/products/p0045,True
P0046,NYX-0046,NYX Lash Makeup,NYX makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,NYX,540,EGP,0,49,4.9,1023,"{""color"": ""Blue"", ""finish"": ""Glow""}",https://example.com/images/p0046.jpg,https://example.com/products/p0046,True
P0047,LC-0047,LC Waikiki Gray Cotton T-Shirt,LC Waikiki regular-fit cotton T-shirt designed for comfortable everyday wear.,Fashion,T-Shirts,LC Waikiki,2070,EGP,15,35,4.2,1020,"{""color"": ""Gray"", ""sizes"": ""S-XXL"", ""material"": ""Cotton""}",https://example.com/images/p0047.jpg,https://example.com/products/p0047,True
P0048,UNI-0048,Uniqlo Gray Cotton T-Shirt,Uniqlo regular-fit cotton T-shirt designed for comfortable everyday wear.,Fashion,T-Shirts,Uniqlo,1200,EGP,20,58,4.2,727,"{""color"": ""Gray"", ""sizes"": ""S-XXL"", ""material"": ""Cotton""}",https://example.com/images/p0048.jpg,https://example.com/products/p0048,True
P0049,UNI-0049,Uniqlo Blue Cotton T-Shirt,Uniqlo regular-fit cotton T-shirt designed for comfortable everyday wear.,Fashion,T-Shirts,Uniqlo,820,EGP,10,17,4.2,251,"{""color"": ""Blue"", ""sizes"": ""S-XXL"", ""material"": ""Cotton""}",https://example.com/images/p0049.jpg,https://example.com/products/p0049,True
P0050,PAN-0050,Pantene Repair Shampoo,Pantene shampoo formulated for regular hair care and suitable for damaged hair.,Beauty,Haircare,Pantene,1320,EGP,20,17,4.1,303,"{""color"": ""Red"", ""volume"": ""400ml"", ""hair_type"": ""damaged""}",https://example.com/images/p0050.jpg,https://example.com/products/p0050,True
P0051,REV-0051,Revlon Matte Makeup,Revlon makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Revlon,1840,EGP,0,35,4.6,848,"{""color"": ""Blue"", ""finish"": ""Glow""}",https://example.com/images/p0051.jpg,https://example.com/products/p0051,True
P0052,ESS-0052,Essence Color Makeup,Essence makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Essence,2320,EGP,5,27,4.2,686,"{""color"": ""Black"", ""finish"": ""Glow""}",https://example.com/images/p0052.jpg,https://example.com/products/p0052,True
P0053,PUM-0053,Puma Flex Sneakers,Puma sneakers with comfortable cushioning and a breathable design for everyday use.,Fashion,Shoes,Puma,10060,EGP,20,16,3.9,1195,"{""color"": ""Beige"", ""size_range"": ""40-45"", ""material"": ""Leather""}",https://example.com/images/p0053.jpg,https://example.com/products/p0053,True
P0054,L'O-0054,L'Oreal Repair Shampoo,L'Oreal shampoo formulated for regular hair care and suitable for oily hair.,Beauty,Haircare,L'Oreal,280,EGP,5,40,3.9,560,"{""color"": ""Blue"", ""volume"": ""400ml"", ""hair_type"": ""oily""}",https://example.com/images/p0054.jpg,https://example.com/products/p0054,True
P0055,BLA-0055,Black+Decker Iron,Black+Decker Iron designed for reliable everyday household use.,Home,Appliances,Black+Decker,3090,EGP,15,44,4.0,33,"{""color"": ""Black"", ""capacity"": ""6L"", ""power"": ""1000W""}",https://example.com/images/p0055.jpg,https://example.com/products/p0055,True
P0056,THE-0056,The Ordinary Purifying Facial Cleanser,The Ordinary facial cleanser designed for gentle daily skincare and suitable for sensitive skin.,Beauty,Skincare,The Ordinary,1520,EGP,0,36,4.3,1078,"{""color"": ""Beige"", ""volume"": ""200ml"", ""skin_type"": ""sensitive"", ""fragrance_free"": true}",https://example.com/images/p0056.jpg,https://example.com/products/p0056,True
P0057,ANK-0057,Anker WH Wireless Headphones,"Anker wireless headphones with Bluetooth connectivity, immersive sound and long battery life.",Electronics,Headphones,Anker,2260,EGP,5,35,4.6,483,"{""color"": ""Gray"", ""wireless"": ""Bluetooth"", ""noise_cancelling"": false, ""battery"": ""40 hours""}",https://example.com/images/p0057.jpg,https://example.com/products/p0057,True
P0058,MOU-0058,Moulinex Hair Dryer,Moulinex Hair Dryer designed for reliable everyday household use.,Home,Appliances,Moulinex,8870,EGP,10,56,4.2,522,"{""color"": ""Black"", ""capacity"": ""4L"", ""power"": ""800W""}",https://example.com/images/p0058.jpg,https://example.com/products/p0058,True
P0059,DOV-0059,Dove Smooth Shampoo,Dove shampoo formulated for regular hair care and suitable for damaged hair.,Beauty,Haircare,Dove,1910,EGP,10,12,4.2,1059,"{""color"": ""Beige"", ""volume"": ""250ml"", ""hair_type"": ""damaged""}",https://example.com/images/p0059.jpg,https://example.com/products/p0059,True
P0060,LG-0060,LG 75-inch 4K Smart TV,"LG smart TV with a 75-inch 4K display, HDR support and streaming applications.",Electronics,TVs,LG,73710,EGP,20,34,4.6,621,"{""color"": ""Gray"", ""screen"": ""75 inch"", ""resolution"": ""4K"", ""smart"": true, ""hdr"": true}",https://example.com/images/p0060.jpg,https://example.com/products/p0060,True
P0061,BLA-0061,Black+Decker Blender,Black+Decker Blender designed for reliable everyday household use.,Home,Kitchen,Black+Decker,11520,EGP,10,23,4.0,1161,"{""color"": ""White"", ""capacity"": ""10L"", ""power"": ""1800W""}",https://example.com/images/p0061.jpg,https://example.com/products/p0061,True
P0062,MAY-0062,Maybelline Natural Makeup,Maybelline makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Maybelline,2700,EGP,5,1,4.3,439,"{""color"": ""Gray"", ""finish"": ""Glow""}",https://example.com/images/p0062.jpg,https://example.com/products/p0062,True
P0063,LC-0063,LC Waikiki Blue Cotton T-Shirt,LC Waikiki regular-fit cotton T-shirt designed for comfortable everyday wear.,Fashion,T-Shirts,LC Waikiki,2300,EGP,5,35,4.5,677,"{""color"": ""Blue"", ""sizes"": ""S-XXL"", ""material"": ""Cotton""}",https://example.com/images/p0063.jpg,https://example.com/products/p0063,True
P0064,PUL-0064,Pull&Bear Black Cotton T-Shirt,Pull&Bear regular-fit cotton T-shirt designed for comfortable everyday wear.,Fashion,T-Shirts,Pull&Bear,930,EGP,20,9,3.9,1183,"{""color"": ""Black"", ""sizes"": ""S-XXL"", ""material"": ""Cotton""}",https://example.com/images/p0064.jpg,https://example.com/products/p0064,True
P0065,PHI-0065,Philips Cooker,Philips Cooker designed for reliable everyday household use.,Home,Kitchen,Philips,2980,EGP,10,34,4.6,272,"{""color"": ""Gray"", ""capacity"": ""4L"", ""power"": ""800W""}",https://example.com/images/p0065.jpg,https://example.com/products/p0065,True
P0066,UNI-0066,Uniqlo Blue Cotton T-Shirt,Uniqlo regular-fit cotton T-shirt designed for comfortable everyday wear.,Fashion,T-Shirts,Uniqlo,2300,EGP,15,1,4.1,1063,"{""color"": ""Blue"", ""sizes"": ""S-XXL"", ""material"": ""Cotton""}",https://example.com/images/p0066.jpg,https://example.com/products/p0066,True
P0067,REV-0067,Revlon Matte Makeup,Revlon makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Revlon,830,EGP,10,9,4.6,92,"{""color"": ""Gray"", ""finish"": ""Matte""}",https://example.com/images/p0067.jpg,https://example.com/products/p0067,True
P0068,BOS-0068,Bose Soundcore Wireless Headphones,"Bose wireless headphones with Bluetooth connectivity, immersive sound and long battery life.",Electronics,Headphones,Bose,23890,EGP,20,52,4.7,683,"{""color"": ""Black"", ""wireless"": ""Bluetooth"", ""noise_cancelling"": true, ""battery"": ""20 hours""}",https://example.com/images/p0068.jpg,https://example.com/products/p0068,True
P0069,REV-0069,Revlon Lash Makeup,Revlon makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Revlon,1020,EGP,5,15,4.0,1022,"{""color"": ""White"", ""finish"": ""Matte""}",https://example.com/images/p0069.jpg,https://example.com/products/p0069,True
P0070,REV-0070,Revlon Color Makeup,Revlon makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Revlon,2080,EGP,10,45,4.0,642,"{""color"": ""Beige"", ""finish"": ""Glow""}",https://example.com/images/p0070.jpg,https://example.com/products/p0070,True
P0071,THE-0071,The Ordinary Foaming Facial Cleanser,The Ordinary facial cleanser designed for gentle daily skincare and suitable for dry skin.,Beauty,Skincare,The Ordinary,1050,EGP,0,48,3.9,333,"{""color"": ""Black"", ""volume"": ""400ml"", ""skin_type"": ""dry"", ""fragrance_free"": true}",https://example.com/images/p0071.jpg,https://example.com/products/p0071,True
P0072,THE-0072,The Ordinary Hydrating Facial Cleanser,The Ordinary facial cleanser designed for gentle daily skincare and suitable for combination skin.,Beauty,Skincare,The Ordinary,2900,EGP,20,50,4.1,757,"{""color"": ""Gray"", ""volume"": ""400ml"", ""skin_type"": ""combination"", ""fragrance_free"": false}",https://example.com/images/p0072.jpg,https://example.com/products/p0072,True
P0073,PHI-0073,Philips Toaster,Philips Toaster designed for reliable everyday household use.,Home,Kitchen,Philips,2460,EGP,5,35,4.0,745,"{""color"": ""Gray"", ""capacity"": ""10L"", ""power"": ""1800W""}",https://example.com/images/p0073.jpg,https://example.com/products/p0073,True
P0074,BAS-0074,Baseus Cable,Baseus Cable designed for reliable everyday use with compatible devices.,Electronics,Accessories,Baseus,2340,EGP,20,5,4.3,718,"{""color"": ""Red"", ""type"": ""Cable"", ""compatibility"": ""USB-C""}",https://example.com/images/p0074.jpg,https://example.com/products/p0074,True
P0075,TEF-0075,Tefal Air Fryer,Tefal Air Fryer designed for reliable everyday household use.,Home,Kitchen,Tefal,2020,EGP,15,2,3.9,936,"{""color"": ""Red"", ""capacity"": ""1.5L"", ""power"": ""1800W""}",https://example.com/images/p0075.jpg,https://example.com/products/p0075,True
P0076,REV-0076,Revlon Matte Makeup,Revlon makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Revlon,2420,EGP,0,9,4.8,285,"{""color"": ""Black"", ""finish"": ""Natural""}",https://example.com/images/p0076.jpg,https://example.com/products/p0076,True
P0077,ASU-0077,Asus Inspiron Laptop,"Asus Inspiron laptop with 8GB RAM, 1TB SSD and a AMD Ryzen 5 processor.",Electronics,Laptops,Asus,51420,EGP,0,2,4.6,155,"{""color"": ""Red"", ""ram"": ""8GB"", ""storage"": ""1TB"", ""processor"": ""AMD Ryzen 5""}",https://example.com/images/p0077.jpg,https://example.com/products/p0077,True
P0078,ADI-0078,Adidas Gray Jacket,Adidas casual jacket designed for comfortable everyday outdoor wear.,Fashion,Jackets,Adidas,2780,EGP,10,45,4.8,506,"{""color"": ""Gray"", ""sizes"": ""S-XXL"", ""material"": ""Denim""}",https://example.com/images/p0078.jpg,https://example.com/products/p0078,True
P0079,TEF-0079,Tefal Mixer,Tefal Mixer designed for reliable everyday household use.,Home,Kitchen,Tefal,8710,EGP,5,38,4.0,396,"{""color"": ""Black"", ""capacity"": ""1.5L"", ""power"": ""1800W""}",https://example.com/images/p0079.jpg,https://example.com/products/p0079,True
P0080,GAR-0080,Garnier Smooth Shampoo,Garnier shampoo formulated for regular hair care and suitable for oily hair.,Beauty,Haircare,Garnier,230,EGP,10,60,4.0,79,"{""color"": ""Red"", ""volume"": ""400ml"", ""hair_type"": ""oily""}",https://example.com/images/p0080.jpg,https://example.com/products/p0080,True
P0081,NIK-0081,Nike White Jacket,Nike casual jacket designed for comfortable everyday outdoor wear.,Fashion,Jackets,Nike,4340,EGP,20,37,3.8,1074,"{""color"": ""White"", ""sizes"": ""S-XXL"", ""material"": ""Denim""}",https://example.com/images/p0081.jpg,https://example.com/products/p0081,True
P0082,JYS-0082,JYSK Classic Table,"JYSK minimalist table designed for practical use in bedrooms, offices or living rooms.",Home,Furniture,JYSK,1940,EGP,15,10,4.3,237,"{""color"": ""Black"", ""material"": ""MDF""}",https://example.com/images/p0082.jpg,https://example.com/products/p0082,True
P0083,DEL-0083,Dell IdeaPad Laptop,"Dell IdeaPad laptop with 8GB RAM, 512GB SSD and a Intel Core i7 processor.",Electronics,Laptops,Dell,24700,EGP,10,48,4.7,1084,"{""color"": ""Blue"", ""ram"": ""8GB"", ""storage"": ""512GB"", ""processor"": ""Intel Core i7""}",https://example.com/images/p0083.jpg,https://example.com/products/p0083,True
P0084,ASU-0084,Asus ThinkPad Laptop,"Asus ThinkPad laptop with 32GB RAM, 1TB SSD and a Intel Core i5 processor.",Electronics,Laptops,Asus,33160,EGP,10,35,4.5,738,"{""color"": ""Beige"", ""ram"": ""32GB"", ""storage"": ""1TB"", ""processor"": ""Intel Core i5""}",https://example.com/images/p0084.jpg,https://example.com/products/p0084,True
P0085,LEV-0085,Levi's Straight Jeans,Levi's Straight jeans made for everyday casual outfits.,Fashion,Jeans,Levi's,1890,EGP,0,10,4.5,581,"{""color"": ""White"", ""sizes"": ""30-40"", ""fit"": ""Straight"", ""material"": ""Denim""}",https://example.com/images/p0085.jpg,https://example.com/products/p0085,True
P0086,TCL-0086,TCL 65-inch 4K Smart TV,"TCL smart TV with a 65-inch 4K display, HDR support and streaming applications.",Electronics,TVs,TCL,16350,EGP,20,46,4.4,1131,"{""color"": ""Beige"", ""screen"": ""65 inch"", ""resolution"": ""4K"", ""smart"": true, ""hdr"": true}",https://example.com/images/p0086.jpg,https://example.com/products/p0086,True
P0087,BAS-0087,Baseus USB-C Hub,Baseus USB-C Hub designed for reliable everyday use with compatible devices.,Electronics,Accessories,Baseus,2120,EGP,15,25,4.3,506,"{""color"": ""Black"", ""type"": ""USB-C Hub"", ""compatibility"": ""Universal""}",https://example.com/images/p0087.jpg,https://example.com/products/p0087,True
P0088,MAY-0088,Maybelline Natural Makeup,Maybelline makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Maybelline,2010,EGP,20,39,4.0,495,"{""color"": ""White"", ""finish"": ""Matte""}",https://example.com/images/p0088.jpg,https://example.com/products/p0088,True
